Server,Keyword,Search Time,Execution Time,Total Time,Rows Fetched
srv03912.soton.ac.uk,diabetes,18049,30055,32695,32691
srv03913.soton.ac.uk,diabetes,19045,30055,32695,32691
srv03914.soton.ac.uk,diabetes,19223,30055,32695,32691
srv03915.soton.ac.uk,diabetes,19035,30055,32695,32691
srv03916.soton.ac.uk,diabetes,18449,30055,32695,32691
srv03917.soton.ac.uk,diabetes,18938,30055,32695,32691
srv03918.soton.ac.uk,diabetes,19605,30055,32695,32691
srv03919.soton.ac.uk,diabetes,20484,30055,32695,32691
srv03920.soton.ac.uk,diabetes,18721,30055,32695,32691
srv03921.soton.ac.uk,diabetes,18230,30055,32695,32691
srv03922.soton.ac.uk,diabetes,19554,30055,32695,32691
srv03923.soton.ac.uk,diabetes,22044,30055,32695,32691
srv03924.soton.ac.uk,diabetes,16715,30055,32695,32691
srv03925.soton.ac.uk,diabetes,20404,30055,32695,32691
srv03926.soton.ac.uk,diabetes,29895,30055,32695,32691
srv03927.soton.ac.uk,diabetes,17176,30055,32695,32691
srv03928.soton.ac.uk,diabetes,18120,30055,32695,32691
srv03929.soton.ac.uk,diabetes,17321,30055,32695,32691
srv03930.soton.ac.uk,diabetes,15721,30055,32695,32691
srv03931.soton.ac.uk,diabetes,18534,30055,32695,32691
srv03932.soton.ac.uk,diabetes,28176,30055,32695,32691
srv03933.soton.ac.uk,diabetes,28184,30055,32695,32691
srv03934.soton.ac.uk,diabetes,17230,30055,32695,32691
srv03935.soton.ac.uk,diabetes,22462,30055,32695,32691
srv03936.soton.ac.uk,diabetes,22529,30055,32695,32691
srv03937.soton.ac.uk,diabetes,17859,30055,32695,32691
srv03938.soton.ac.uk,diabetes,24817,30055,32695,32691
srv03939.soton.ac.uk,diabetes,29218,30055,32695,32691
srv03940.soton.ac.uk,diabetes,18196,30055,32695,32691
srv03941.soton.ac.uk,diabetes,26150,30055,32695,32691
srv03942.soton.ac.uk,diabetes,17609,30055,32695,32691
srv03943.soton.ac.uk,diabetes,24009,30055,32695,32691
srv03944.soton.ac.uk,diabetes,19577,30055,32695,32691
srv03945.soton.ac.uk,diabetes,19371,30055,32695,32691
srv03946.soton.ac.uk,diabetes,24094,30055,32695,32691
srv03947.soton.ac.uk,diabetes,23888,30055,32695,32691
srv03948.soton.ac.uk,diabetes,18641,30055,32695,32691
srv03949.soton.ac.uk,diabetes,24331,30055,32695,32691
srv03950.soton.ac.uk,diabetes,19190,30055,32695,32691
srv03951.soton.ac.uk,diabetes,15972,30055,32695,32691
srv03952.soton.ac.uk,diabetes,16849,30055,32695,32691
srv03953.soton.ac.uk,diabetes,26769,30055,32695,32691
srv03954.soton.ac.uk,diabetes,18905,30055,32695,32691
srv03955.soton.ac.uk,diabetes,17276,30055,32695,32691
srv03812.soton.ac.uk,carpal,8004,28980,29368,6640
srv03813.soton.ac.uk,carpal,17411,28980,29368,6640
srv03814.soton.ac.uk,carpal,16829,28980,29368,6640
srv03815.soton.ac.uk,carpal,25920,28980,29368,6640
srv03816.soton.ac.uk,carpal,27271,28980,29368,6640
srv03911.soton.ac.uk,carpal,25717,28980,29368,6640
srv03912.soton.ac.uk,carpal,17456,28980,29368,6640
srv03913.soton.ac.uk,carpal,18445,28980,29368,6640
srv03914.soton.ac.uk,carpal,17295,28980,29368,6640
srv03915.soton.ac.uk,carpal,19092,28980,29368,6640
srv03916.soton.ac.uk,carpal,17878,28980,29368,6640
srv03917.soton.ac.uk,carpal,18657,28980,29368,6640
srv03918.soton.ac.uk,carpal,18617,28980,29368,6640
srv03919.soton.ac.uk,carpal,22532,28980,29368,6640
srv03920.soton.ac.uk,carpal,21175,28980,29368,6640
srv03921.soton.ac.uk,carpal,17894,28980,29368,6640
srv03922.soton.ac.uk,carpal,18064,28980,29368,6640
srv03923.soton.ac.uk,carpal,19807,28980,29368,6640
srv03924.soton.ac.uk,carpal,19113,28980,29368,6640
srv03925.soton.ac.uk,carpal,21112,28980,29368,6640
srv03926.soton.ac.uk,carpal,28786,28980,29368,6640
srv03927.soton.ac.uk,carpal,17099,28980,29368,6640
srv03928.soton.ac.uk,carpal,19440,28980,29368,6640
srv03929.soton.ac.uk,carpal,16958,28980,29368,6640
srv03930.soton.ac.uk,carpal,17502,28980,29368,6640
srv03931.soton.ac.uk,carpal,16368,28980,29368,6640
srv03932.soton.ac.uk,carpal,26798,28980,29368,6640
srv03933.soton.ac.uk,carpal,26343,28980,29368,6640
srv03934.soton.ac.uk,carpal,20615,28980,29368,6640
srv03935.soton.ac.uk,carpal,23878,28980,29368,6640
srv03936.soton.ac.uk,carpal,22838,28980,29368,6640
srv03937.soton.ac.uk,carpal,17956,28980,29368,6640
srv03938.soton.ac.uk,carpal,23685,28980,29368,6640
srv03939.soton.ac.uk,carpal,26518,28980,29368,6640
srv03940.soton.ac.uk,carpal,26478,28980,29368,6640
srv03941.soton.ac.uk,carpal,25623,28980,29368,6640
srv03942.soton.ac.uk,carpal,18047,28980,29368,6640
srv03943.soton.ac.uk,carpal,21546,28980,29368,6640
srv03944.soton.ac.uk,carpal,19283,28980,29368,6640
srv03945.soton.ac.uk,carpal,19234,28980,29368,6640
srv03946.soton.ac.uk,carpal,22910,28980,29368,6640
srv03947.soton.ac.uk,carpal,25732,28980,29368,6640
srv03948.soton.ac.uk,carpal,17958,28980,29368,6640
srv03949.soton.ac.uk,carpal,18546,28980,29368,6640
srv03950.soton.ac.uk,carpal,22055,28980,29368,6640
srv03951.soton.ac.uk,carpal,15593,28980,29368,6640
srv03952.soton.ac.uk,carpal,16664,28980,29368,6640
srv03953.soton.ac.uk,carpal,26745,28980,29368,6640
srv03954.soton.ac.uk,carpal,18600,28980,29368,6640
srv03955.soton.ac.uk,carpal,16348,28980,29368,6640
srv03812.soton.ac.uk,carpal,8069,29185,29474,6640
srv03813.soton.ac.uk,carpal,18924,29185,29474,6640
srv03814.soton.ac.uk,carpal,17448,29185,29474,6640
srv03815.soton.ac.uk,carpal,24540,29185,29474,6640
srv03816.soton.ac.uk,carpal,26426,29185,29474,6640
srv03911.soton.ac.uk,carpal,22158,29185,29474,6640
srv03912.soton.ac.uk,carpal,17304,29185,29474,6640
srv03913.soton.ac.uk,carpal,18282,29185,29474,6640
srv03914.soton.ac.uk,carpal,16536,29185,29474,6640
srv03915.soton.ac.uk,carpal,17751,29185,29474,6640
srv03916.soton.ac.uk,carpal,18397,29185,29474,6640
srv03917.soton.ac.uk,carpal,17505,29185,29474,6640
